index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
2909,ホンダ,Ｎ−ＢＯＸカスタム,https://www.goo-net.com/usedcar/spread/goo/14/700120106830220911002.html,74.8万円,--万円,5.3万km,0,0,2023年9月,2012,660,4,2WD,ガソリン,5D,CVT,0,ワインＭ,535,−,−,−,3395x1475x1780mm,960,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,22.0km/リットル,24.5km/リットル,1,1,3,3,無し
2910,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/18/700130061330211020001.html,101万円,--万円,6.2万km,0,0,なし,2015,660,4,2WD,ガソリン,5D,CVT,0,パール,108,−,−,−,3395x1475x1750mm,940,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,28.0km/リットル,−,1,1,4,4,無し
2911,ダイハツ,ムーヴ,https://www.goo-net.com/usedcar/spread/goo/12/700040174530161211007.html,59万円,69.8万円,6.9万km,0,0,車検整備付,2012,660,4,2WD,ガソリン,5D,インパネAT,1,ブラックマイカメタリック,225,−,−,−,3395x1475x1620mm,850,FF,無鉛レギュラーガソリン,64ps(47kW)/6400rpm,−,−,22.0km/リットル,1,1,4,4,無し
2912,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/10/906022091800302612002.html,88万円,--万円,5.6万km,0,0,2023年4月,2014,660,4,4WD,ガソリン,5D,インパネAT,0,パールホワイト,24,−,−,−,3395x1475x1675mm,910,フルタイム４WD,無鉛レギュラーガソリン,64ps(47kW)/6000rpm,−,24.2km/リットル,−,1,1,4,4,無し
2913,スズキ,アルト,https://www.goo-net.com/usedcar/spread/goo/11/700090372330220619001.html,108万円,--万円,0.1万km,0,0,2024年12月,2021,660,4,4WD,ガソリン,5D,CVT,0,シルバーＭ,116,−,339,196,3395x1475x1525mm,730,フルタイム４WD,無鉛レギュラーガソリン,46ps(34kW)/6500rpm,23.5km/リットル,28.7km/リットル,−,0,0,5,5,無し
2914,スバル,ステラ,https://www.goo-net.com/usedcar/spread/goo/17/700100251030220427002.html,39.8万円,--万円,7.4万km,0,0,なし,2014,660,4,2WD,ガソリン,5D,CVT,0,ゴールド,504,−,−,−,3395x1475x1620mm,810,FF,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,29.0km/リットル,−,0,0,4,4,無し
2915,ダイハツ,テリオスキッド,https://www.goo-net.com/usedcar/spread/goo/11/700090090530220916002.html,106.8万円,115万円,2.6万km,0,0,車検整備付,2012,660,4,4WD,ガソリン,5D,4AT,0,パール,65,−,−,−,3395x1475x1740mm,990,フルタイム４WD,無鉛レギュラーガソリン,60ps(44kW)/6800rpm,−,−,16.8km/リットル,1,1,4,4,無し
2916,ダイハツ,ミライース,https://www.goo-net.com/usedcar/spread/goo/16/700070706830220302003.html,56万円,66万円,1.8万km,0,0,車検整備付,2017,660,4,2WD,ガソリン,5D,CVT,0,シルバー,363,−,−,−,3395x1475x1500mm,650,FF,無鉛レギュラーガソリン,49ps(36kW)/6800rpm,−,35.2km/リットル,−,1,1,4,4,有 軽度
2917,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/17/700100255530190218001.html,56万円,67万円,7.0万km,0,0,なし,2010,660,4,2WD,ガソリン,5D,CVT,0,ピンク,376,福祉車両,−,−,,,,ガソリン,,,,,0,0,4,4,無し
2918,ホンダ,Ｎ−ＷＧＮカスタム,https://www.goo-net.com/usedcar/spread/goo/11/941022040700504318002.html,64.8万円,--万円,6.2万km,0,0,2023年3月,2014,660,4,2WD,ガソリン,5D,インパネAT,0,ポリッシュドメタルメタリック,851,−,−,−,3395x1475x1655mm,830,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,29.2km/リットル,−,1,0,4,4,無し
